provider,email,telephone,website,address
TRUEVENTUS SDN BHD,nora@trueventus.com,60327750000,,"SUITE 2B-23A-2,LEVEL 23A, BLOCK 2B,,PLAZA SENTRAL, JALAN SENTRAL 5,,KL SENTRAL,KL SENTRAL,Kuala Lumpur,Malaysia-50470"
ZENITH BIZNESS EXCELLENCE SDN BHD,finance@zenithbizness.com,60378905454,,
WHEALER SOLUTIONS SDN BHD,jeechew@whealer.com,60122313207,,
EUROGAIN HARVEST SDN. BHD.,hr@eurogain.com.my,60122898666,,
QUANTUM ACHIEVERS INTERNATIONAL SDN BHD,wayfarer68@gmail.com,60122013373,,
KNOWLEDGE HUB ASIA SDN BHD,esther.yong@knowledgehub-asia.com,60122662728,,
ATD SOLUTION (M) SDN BHD,nani@atdsolution.com,60322881680,,
TPT RESOURCES SDN. BHD.,admin@tptr.com.my,60193312020,,
LEADERSHIP ASIA CONSULTING SDN BHD,amar@lac.com.my,60377812711,,
PERFECT PROTECTION SDN BHD,mvchong@perfectprotection.com.my,60122030408,,
PSS PROFESSIONAL SALES ACADEMY SDN. BHD.,jpsim8@yahoo.com,60122002128,,
PETROEDGE SDN BHD,info@asiaedge.net,6598522590,,
ERNST & YOUNG CONSULTING SDN. BHD.,myhrdc@my.ey.com,60374958103,,
BEACON CONSULTING MALAYSIA SDN BHD,contact@beacon.my,6597860941,,
ZANERVA SDN BHD,finance@zanerva.com,60321696364,,
COSMOPOINT SDN. BHD.,susila.nair@unitar.my,60143094168,,
SDCKL SDN. BHD.,milan@sdckl.edu.my,60327791500,,
BUREAU VERITAS (M) SDN.BHD.,firdaus.razalli@bureauveritas.com,60174875379,,
OLYGEN SDN BHD,alvinyong@olygen.com,6.01163E+11,,
LEMBAGA PERINDUSTRIAN KAYU MALAYSIA,atiqah@mtib.gov.my,60331491743,,
PUSAT PENDIDIKAN BERTERUSAN U. MALAYA,umcced@um.edu.my,60322463604,,
WHITE QUEST SYNERGY SDN. BHD.,zuwanah@wqsynergy.com,60321651171,,
THE LONDON SPEAKER BUREAU SDN. BHD.,ACCOUNTS@LONDONSPEAKERBUREAU.MY,60323010988,,
PEOPLELOGY GROWTH SDN BHD,sbl-khas.inquiry@peoplelogy.com,60322871829,,
KISMET HRTC SDN. BHD.,noordiana@kismetgroup.com.my,60362119222,,
RO CONSULTING GROUP SDN. BHD.,roland@rolandong.com,60123268264,,
MANGO TRAINING AND CONSULTANCY SDN. BHD.,maisarah@mangotraining.com,60364191828,,
SAMHOUD SDN. BHD.,,,,
CONFEXHUB SDN BHD,sookmei@confexhub.com,60327711668,,
BEYOND CULINARY SDN BHD,roseyong28@gmail.com,60123776867,,
CALIBRE SKILLS DEVELOPMENT SDN BHD,support@calibreskills.com.my,60108182794,,
NEOONE ASSOCIATES SDN. BHD.,tzeyasmin@gmail.com,60192713292,,
TALENPAC PLT,navin@talenpac.com,60123072432,,
UNIVERSITI TEKNIKAL MARA SDN. BHD.,mluqman@unikl.edu.my,60321754482,,
IIUM CONSULTANCY AND INNOVATION SDN. BHD.,iiumconsultants@gmail.com,60364215434,,
ASIA E LEARNING SDN BHD,juita.sulaiman@aeu.edu.my,60327850056,,
ACCA MALAYSIA SDN BHD,mycpd@accaglobal.com,60322890127,,"SUITE 15.1, LEVEL 15,CENTREPOINT NORTH TOWER,MID VALLEY CITY,LINGKARAN SYED PUTRA,KUALA LUMPUR,Kuala Lumpur,Malaysia-59200"
WEB CITY SDN BHD,noelkolejypc@gmail.com,60392833799,,
GADING INSTITUTE SDN. BHD.,gadinginstitute@gmail.com,60134157919,,
SCICOM (ACADEMY) SDN.BHD.,sree.krishnan@scicom.com.my,60321621088,,
AKADEMI BINAAN MALAYSIA (SELANGOR) SDN BHD,faizharon@cidbabm.com.my,60392002008,,
TRAVEX INSTITUTE OF TOURISM SDN BHD,inquiry@travexcollege.com,60320702673,,
ALFA INTERNATIONAL COLLEGE SDN BHD,fairuz@alfa.edu.my,60356319208,,
ASIAN INSTITUTE OF INSURANCE,hrdcorp@aiiasia.org,60327128882,,
PERTUBUHAN IKATAN KOMUNITI SELAMAT,tnc.ikatan@gmail.com,60321100236,,
MIMOS BERHAD,TalentDevelopment@mimos.my,60389955000,,
THE MALAYSIAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,cpd@micpa.com.my,60326989622,,
SLEDGEHAMMER COMMUNICATIONS (M) SDN.BHD.,ruby@adoimagazine.com,60377262588,,
APIIT SDN. BHD.,training@apiit.edu.my,60389961000,,
BERJAYA HIGHER EDUCATION SDN BHD,farah.suhaily@berjaya.edu.my,60193698676,,
MLOK HOLDINGS SDN BHD,info@mlokconsultant.com,60321629088,,
IR LAW SDN BHD,amirah@irlaw.com.my,60341083221,,
PUSAT TEKSTIL & PAKAIAN MALAYSIA (MATAC),hasnah@matac.com.my,60321621587,,
MALAYSIAN - GERMAN CHAMBER OF COMMERCE AND INDUSTRY,info@malaysia.ahk.de,60392351800,,"LOT 20 - 01, LEVEL 20,,MENARA HAP SENG 2 ,,PLAZA HAP SENG,,NO 1, JALAN P. RAMLEE,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50250"
BDO TAX SERVICES SDN. BHD.,bdolapd@bdo.my,60326162888,,
MAGCOLM SOLUTIONS SDN. BHD.,alicia@magcolm.my,60327897901,,
SHYANA HR CONSULTING & TRAINING SDN BHD,dev@shyanahr.com.my,60362000670,,
CENTRE FOR ENTREPRENEUR DEVELOPMENT AND RESEARCH SDN. BHD.,siti.fatimah@cedar.my,60177752008,,
THINK PLUS ACADEMY SDN. BHD.,thinkplusacademy@gmail.com,60129131254,,
CR TEGUH BINA SDN. BHD.,marliaamirul@gmail.com,60183266511,,
DNV MALAYSIA SDN. BHD.,Sukdeep.Kaur.Gurdev.Singh@dnv.com,60321601088,,
HELP UNIVERSITY SDN. BHD.,mogana.s@help.edu.my,60327162097,,
INFINITY LEARNING AVENUE,racinelim@yahoo.com,60163808038,,
VADS BUSINESS PROCESS SDN. BHD.,hafizi.borhan@tm.com.my,77128888,,
MCSB SYSTEMS (M) BERHAD,sharon.ooi@mcsb.com,60320287484,,
ENTERPRISE BUSINESS SOLUTIONS SDN. BHD.,sheila.virumandi@insynchro.net,60362013848,,
INPSYFUL LEARNING & SOLUTIONS SDN. BHD.,finance@inpsyful.com,60162121136,,
SYNERGY KNOWLEDGE (M) SDN. BHD.,selvam@synergyknowledge.com.my,60322017004,,
HD TRAINING HOUSE SDN BHD,infopg@hdhouse.org,60379825773,,
F.I.T CENTER SDN. BHD.,fiza@fitec.com.my,60122869606,,
BDEC RESOURCES MALAYSIA SDN. BHD.,faridahtahir@bdecres.com,60192248263,,
MINDMAGINE ASIA SDN. BHD.,azizah.chedon@mindmagine.com,60149114149,,"MZ 9, PENTHOUSE 16-1, LEVEL 16,WISMA UOA DAMANSARA II,NO 6, CHANGKAT SEMANTAN,DAMANSARA HEIGHTS,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-50490"
PRO B CENTRE SDN BHD,hr@chengco.com.my,60379848988,,
CLENNIE TECH SDN. BHD.,clennietech@gmail.com,60162178562,,
CENTRILINC SDN. BHD.,training@centrilinc.com,60122339380,,
ARCNET TRAINING AND DEVELOPMENT SDN. BHD.,admin01@arcnettraining.com,60142202902,,
YYC TAX CONSULTANTS SDN BHD,e-invoicingteam@yycadvisors.com,60390782868,,
DSH INSTITUTE OF TECHNOLOGY SDN. BHD.,yuliana@dit.edu.my,60129291220,,
ADEV VENTURES SDN. BHD.,ops@vimigoapp.com,60132086728,,
PROCESSWORKS SDN. BHD.,info@processworksgroup.com,60392367293,,
BREYER TRAINING AND EDUCATION CONSULTANTS SDN. BHD.,kalarani@cqbreyer.edu.my,60123100340,,
ENDONA CORPORATION SDN. BHD.,admin@endona.com.my,60342566662,,
JMC COACH MASTERY SDN. BHD,wkleong@jmcconsult.com,60123131280,,
U PERFORMA RESOURCES PLT,song@u-performa.com,60392843066,,
SELERA ARIF SDN. BHD.,seleraarif@gmail.com,60162224880,,
AVIDITY INTERNATIONAL SDN BHD,aini@avidityinternational.com,60147562663,,
ONE STOP TRAINING & CONSULTANCY PLT,onestoptraining_consultancy@yahoo.com,60173075555,,
ACHIEVERS QUALITY ACADEMY SDN BHD,dranugun@gmail.com,60328570243,,
PLC INTERNATIONAL SDN BHD,admin@plc-group.com,60321640570,,
ADVISION TRAINING PLT,training@advision.com.my,60362808654,,
RESTAURANT AND CATERING ACADEMY SDN BHD,roycheng.reca@gmail.com,60123771790,,
EFR CERTIFICATION SDN BHD,sales@efrcertification.com,60327319331,,
ASIAN MANAGEMENT DEVELOPMENT ACADEMY PLT,vizayer@gmail.com,60162093156,,
EXCEL GREAT MANAGEMENT PLT,excelgreatllp@gmail.com,60123270919,,
CENTIA PLT,team@centia.my,60362114242,,
ISO EXPERTS PLT,tejwinder@isoexperts.com.my,60133521324,,
TACH SOLUTION PLT,yktang@tachsolution.com,60123036290,,
PROJECT MANAGEMENT ACADEMY SDN BHD,coordinator@pma-intl.com,60379609598,,
SUTERA ANALYTICS SDN BHD,contact_us@sutera-analytics.com,60364132633,,
ISKILL CONSULTANCY PLT,iskillconsultancy@gmail.com,60162057773,,
ORBITAGE SDN. BHD.,vanitha@orbitage.com,60322021852,,
UEBERLEAP ACADEMY SDN. BHD.,armiza.razak@ueberleapacademy.com,60193062632,,
EESSENCE TRAINING CONSULTANTS SDN BHD,coaching@eessence.biz,60374946101,,
LAWRENCE WALTER SEMINARS STRATEGIC GROUP PLT,lwsadmin@lwseminars.com,60321444091,,
LAB CONSULT PLT,kwan_ng@hotmail.com,60126557355,,
METROPRIME CORPORATION SDN. BHD.,language@languagehouse.edu.my,60330038068,,
CALIBRE BUSINESS SOLUTIONS SDN BHD,ckhah@calibre.my,60163113073,,
THE CENTER OF APPLIED DATA SCIENCE SDN. BHD.,admin@cads.ai,60379312963,,
UNIVERSAL MINDS SDN BHD,admin@universalminds.my,60321499393,,
FINALSPOT SDN.BHD.,zainab_abakar@yahoo.com,60123403934,,
NIKAO CONSULTING SDN BHD,juliuswee@nikao-consulting.com,60162265220,,
QUANTUM LEAP TECHNOLOGY PLT,tk@quantumleap-seminar.com,60133954754,,
KLCC EDUCATION GROUP SDN. BHD.,klcc.edu.group@gmail.com,60123361813,,
GRC CONSULTING SERVICES SDN BHD,fariza@grccs.com.my,60322422813,,
EDUVO SDN BHD,vincent@eduvo.com.my,60327122951,,
CHARLTON MARTIN CONSULTANTS SDN BHD,maisarah.ghazni@charltonmartin.com,60322875175,,
MBA VENTURE PLT,mbaventureplt@gmail.com,60194410549,,
EVENTSMASTERY ASIA PACIFIC SDN BHD,shumfp@eventsmastery.com,60122103691,,
PKF AVANT EDGE SDN BHD,training@pkfmalaysia.com,60362031888,,
DRI MALAYSIA SDN BHD,kai@dri-malaysia.org,60146210982,,
OMNI VIEW CONSULTING (M) SDN. BHD.,angeline@omniview.net,60362011198,,
GEOSPATIAL SCIENCES AND GEOMATICS EDUCATION GROUP SDN. BHD.,hr.admin@gstc.edu.my,60341628751,,
JAF PRIMA JAYA SDN. BHD,jafprimajaya@yahoo.com.my,60199878798,,
ASCELLA CONSULTING SDN. BHD.,alvinwee@ascella.biz,60390549779,,
3E TRAINING & EDUCATION SDN BHD,enquiry@3etrainedu.asia,60126215254,,
CHARTERED TAX INSTITUTE OF MALAYSIA,cpd@ctim.org.my,60392127848,,
CAD FOCUS SDN. BHD.,tegoh@cadfocus.com.my,60392216918,,
&SAMHOUD SDN. BHD.,n.hamurcu@samhoud.com,60192330563,,
NOESIS EXED,info@noesis.edu.sg,60327254291,,
WESLEYAN EDUCATION SERVICES SDN. BHD.,pang.kj@mckl.edu.my,60193691391,,
SHEMSI SDN BHD,mail@shemsi.com,60122958613,,"476, LEVEL 3A,SUNWAY VISIO TOWER,LINGKARAN SV,SUNWAY VELOCITY,KUALA LUMPUR,Kuala Lumpur,Malaysia-55100"
LEARNING VISTA SDN. BHD.,cheahjin.lim@outlook.com,60123674083,,
"ENTREPRENEURS` ORGANIZATION, MALAYSIA CHAPTER (EO MALAYSIA)",eohrdc@gmail.com,60 1111071411,,
EMERGING JOURNEY ASIA SDN BHD,info@ejasia.net,60379713111,,
WILD GEESE GROUP SDN. BHD.,admin@mersc2-0.com,60333822215,,
MU DOT MY PLT,hello@mu.my,60172008017,,
TARC EDUCATION FOUNDATION (TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY),hrdc@tarc.edu.my,60341450123,,
EWOLUTION TRAINING & HUMAN RESOURCES,ewolutiontraining@yahoo.com,60166683093,,
1CMS INTERNATIONAL (M) SDN. BHD.,cssupport@1cms.com.my,60377732771,,
EFFECTUAL LINKS SDN BHD,syuen.toh@effectuallinks.com,60126573739,,
CEO VAS SDN. BHD.,julie@ceovas.com.my,60126842199,,
RHYTHM EMPOWERMENT SOLUTIONS SDN BHD,rahman@rhythm-empowerment.com,60196134508,,
SAMYUJ SDN. BHD.,samyujmalaysia@gmail.com,60329382797,,
HUMAN EQUATION SDN BHD,sheila@human-equation.com,60122035362,,
FEDERATION OF MALAYSIAN MANUFACTURING,etris@fmm.org.my,60362867200,,
TECHTUAL CONSULTING PLT,techtual.tc@gmail.com,60124779699,,
THE BOX SOLUTIONS MALAYSIA SDN. BHD.,TRAINING@TRAININGBOXMALAYSIA.COM,60126702030,,
GLM TRAINING & CONSULTANCY SDN BHD,mary@glm-training.com,60322836949,,
MALAYSIAN INSTITUTE OF ECONOMIC RESEARCH (MIER),sarimah@mier.org.my,60321420091,,
JAY TEAM COACHING SDN BHD,jayshum@jayteamcoaching.com,60122993523,,
IA ESSENTIAL SDN BHD,kiansoon.chong@iae-world.com,60391319188,,
PRIMUS INTER PARES TRAINING AND MANAGEMENT SERVICES PLT,salimashedoff@gmail.com,60178654240,,
EMAGE ACADEMY SDN BHD,evelyn@emageacademy.com,60124112768,,
INTERNATIONAL CENTRE FOR EDUCATION IN ISLAMIC FINANCE (INCEIF),shaidatul@inceif.edu.my,60139795181,,
CONNECTED PERFORMANCE SDN BHD,sasikala.annamalai@kpiinstitute.com,60125911366,,
ELIAS TRAINING & CONSULTANCY SDN. BHD.,phoebe.plc@gmail.com,60328567297,,"L12-12, MENARA SENTRAL VISTA,,NO. 150, JALAN SULTAN ABDUL SAMAD,,BRICKFIELDS, 50470,,KUALA LUMPUR,Kuala Lumpur,Kuala Lumpur,Malaysia-50470"
GREATS TRAINING & RESOURCES,ravishangkar.greats@gmail.com,60173206094,,
SG AKADEMI (M) SDN BHD,aini@sgacademy.edu.my,60340411366,,
PERKHIDMATAN ANTARABANGSA SOS SDN. BHD.,amin.zamani@pkasos.com,60327873042,,
YES ACADEMY SDN BHD,cms.yesacademy@gmail.com,60327100180,,"SUITE C-11-3,LEVEL 11,,BLOCK C,,MEGAN AVENUE II,,JALAN YAP KWAN SENG,KUALA LUMPUR,Kuala Lumpur,Malaysia-50450"
AZIMUTH CENTRE OF EXCELLENCE SDN BHD,ruthclark@azimuth-international.com,60327048144,,
OSR CONSULTING SDN. BHD.,christina.osrhrgroup@outlook.com,60327105255,,
MMT UNIVERSAL ACADEMY SDN. BHD.,info@mmt.my,60321499257,,"SUITE 33-01, 33RD FLOOR, MENARA KEK SENG,,203, JALAN BUKIT BINTANG, 55100,,W.P. KUALA LUMPUR,,MALAYSIA,WILAYAH PERSEKETUAN,Kuala Lumpur,Malaysia-55100"
SP TRAINING PLT,sptrainingplt@gmail.com,60362507350,,
TOP FORESIGHT SDN BHD,harley@topforesight.com,60364113143,,"Block A1-13A-01,Arcoris,No10 Jalan Kiara,Mont Kiara,Wilayah Persekutuan,Kuala Lumpur,Malaysia-50480"
AWANSOFT TECHNOLOGY SDN. BHD.,esther@awansoft.biz,60123002000,,
DYNAMIC VISION RESOURCES SDN BHD,abib405@yahoo.com,60122677668,,
OPTIMAL PARTNERSHIP CONSULTANTS SDN BHD,pwyap@optimalconsulting.com.sg,60362053728,,
DEVCOM TRENDS PLT,sudhev@devcomtrends.com.my,60126833813,,
AAH CONSULTING SDN BHD,reginald@aarianahospitality.com,60102088600,,
INSTITUT KIMIA MALAYSIA (MALAYSIA INSTITUTE OF CHEMISTRY),azizi@ikm.org.my,60377283272,,
AF CONDITION MONITORING (M) SDN BHD,admin@afcm.com.my,60362734078,,
CULTURAL IMPACT SDN. BHD.,marietseng@culturalimpact.org,60172835199,,
SKILL MASTERS ACADEMY PLT,skillmasters2015@gmail.com,60163223594,,
KOLEJ SAINS PERUBATAN ANTARABANGSA PUSRAWI SDN BHD,aracentre@ucmi.edu.my,60361920600,,
ASB MANAGEMENT SDN. BHD. (ASIA SCHOOL OF BUSINESS),mail.hrdc@asb.edu.my,60320233128,,
JP ASIA CAPITAL SDN BHD,sales@jpasia.co,60197270899,,"UNIT 41-6,THE BOULEVARD OFFICES,MID VALLEY CITY,LINGKARAN SYED PUTRA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200"
GALACTIC SOLUTIONS PLT,ashley.martin@galacticsolutions.com.my,603-74967053,,
MESSI SKILLS ACADEMY (M) SDN. BHD.,messi.academy@yahoo.com,60362419378,,
ADASTA NETWORK SDN BHD,naresh@adastanetwork.asia,60322420550,,
TEN & COLIN,admin@tencolin.com,60327700088,,
UCSI EDUCATION SDN BHD,fitriyah@ucsigroup.com.my,60391018880,,
IDEASCAPE CONSULTING GROUP SDN BHD,admin@ideascape.com.my,60328560570,,
BERKAT OSH SERVICES SDN BHD,masziana.yunus@berkat-osh.com,60386903029,,
VTAR EDUCATION SDN. BHD.,enquiry@vtar.edu.my,60341498211,,
KAMPACHI RESTAURANTS SDN BHD,kampachi-trainer1@equatorial.com,60322757918,,
UNITI RUNDING SDN BHD,finance@uniti.edu.my,60133746067,,
REKINDLE SDN. BHD.,manager@rekindletherapy.com,60193698519,,
AMANIE ACADEMY SDN BHD,yasmin@amanieacademy.com,60193106657,,
PRICEWATERHOUSECOOPERS TAXATION SERVICES SDN BHD,my_learning_and_development_mis@pwc.com,60321731188,,
FUTURE DREAM ACADEMY SDN BHD,futuredream031@gmail.com,60367347799,,
PERSATUAN AKAUNTAN PERCUKAIAN MALAYSIA,mata@mata.org.my,60341499599,,
FGNC TEAMWORKS ACADEMY (M) SDN BHD,twa@fgnc.com.my,60362772441,,"SUITE 2-8-2 & 2-8-3, LEVEL 8,WISMA MENJALARA,JALAN 7A/62A,,BANDAR MENJALARA,,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-52200"
HM INTERNATIONAL SDN. BHD.,tom@meritus.edu.my,60327305000,,
DATABYTE ACADEMY SDN. BHD.,info@databyte.com.my,60340455000,,
WEANSA SOLUTIONS SDN BHD,sk@weansa.com,60122241570,,
MEGATECH EDUCATION SDN BHD,huzaifah@megatech.edu.my,60173378725,,
TED LEARNING SDN BHD,training@ted.com.my,60327421828,,
OASIS PLACE SDN. BHD.,maalathi.sockalingam@oasisplace.com.my,60322769111,,
SEWELLS GROUP MALAYSIA SDN BHD,jlee1@msxi.com,60320969557,,"PENTHOUSE (LEVEL 27), CENTREPOINT SOUTH,,THE BOULEVARD,,MID VALLEY CITY,,LINGKARAN SYED PUTRA,WILAYAH PERSEKUTUAN,Kuala Lumpur,Malaysia-59200"
JMC TECHNOLOGIES SDN BHD,weichang.lee@jmcsg.com,60166382339,,
SMART SOLUTIONS LEARNING SDN BHD,thomas@smartsolutionslearning.com,6016627211,,
SEEK EDUCATION SDN. BHD.,account@seekexec.com,60179949431,,
LEADAPRENEUR SDN. BHD.,kamaliah@leadapreneur.com,60173397455,,
MBS MANAGEMENT DEVELOPMENT (MALAYSIA) SDN BHD,j.wah@mbs.edu,60162251363,,
EDELMAN PUBLIC RELATIONS WORLDWIDE SDN. BHD.,KULPeoplePartner@edelman.com,60322878689,,
EXPERIENTIAL BUSINESS LEARNING (M) SDN. BHD.,suresh@eblm.com.my,60322745254,,
AERIAL GLOBAL SDN BHD,alextan@aerialglobal.com,60122100914,,
CIDB HOLDINGS SDN. BHD.,aidayusnita@cidbh.com.my,60362060000,,
SINAR GLOBAL ACADEMY SDN. BHD.,halif.hussin@sgacademy.com.my,60172630348,,
U2K TEAM TECHNOLOGIES SDN BHD,kalai.bmu@gmail.com,6016-3424047,,
HC CONSULTANTS SDN BHD,sunil@hcconsultantsgroup.com,60129585357,,
LUXURY BUSINESS SOLUTIONS SDN BHD,phylis.wong@luxe-solutions.com,60122122899,,
EXCELLENT RESOURCES CENTER PLT,erc.mysolution@gmail.com,60198003868,,
FIK RESEARCH CENTRE SDN BHD,vanan@fikintl.com,60122188895,,
GLOBAL PEOPLE STRATEGIES SDN BHD,ESTEE@GPS-ASIA.COM,60341418228,,
YYC GST CONSULTANTS SDN BHD,hrdc.gst@yycadvisors.com,60163057309,,
PERSATUAN PEMILIK HOTEL MALAYSIA,mahosecretariat@gmail.com,60326914644,,
AL AMIN EDU OASIS SDN BHD,eduoasis@al-amin.edu.my,60193063412,,
